material_id,material_description,brand,product_category,product_subcategory,list_price_usd,avg_rating,loves_count,review_count,standard_cost_usd
P449342,BeachPlease Lip + Cheek Cream Blush,Tower 28 Beauty,Makeup,Cheek,20.0,4.507,257946,1006.0,8.4
P450720,Contour & Highlight Stick,Anastasia Beverly Hills,Makeup,Face,25.0,3.8262,37976,351.0,10.5
P12790,Bronzer Powder,NARS,Makeup,Cheek,38.0,4.676,155043,3645.0,15.96
P401771,24/7 Waterline Eye Pencil,Urban Decay,Makeup,Eye,25.0,3.3484,30089,577.0,10.5
P476550,Set It Loose Setting Powder,Fashion Fair,Makeup,Face,35.0,4.0556,4290,18.0,14.7
P46587789,EF 1 Makeup Brush,MAKEUP BY MARIO,Makeup,Brushes & Applicators,24.0,3.9286,16423,28.0,10.08
P229406,Chocolate Soleil Matte Bronzer,Too Faced,Makeup,Cheek,35.0,4.625,286081,3947.0,14.7
P455321,Luxury Eyeshadow Palette - Pillow Talk Collection,Charlotte Tilbury,Makeup,Eye,55.0,3.9418,67767,773.0,23.1
P483474,Aqua Resist Color Ink 24HR Waterproof  Liquid Eyeliner,MAKE UP FOR EVER,Makeup,Eye,26.0,3.7487,16234,199.0,10.92
P420019,PRO Foundation Brush #70,SEPHORA COLLECTION,Makeup,Brushes & Applicators,30.0,4.4966,93355,294.0,12.6
P432863,Sublime Skin Highlighting Trio,PAT McGRATH LABS,Makeup,Face,53.0,4.5249,31876,181.0,22.26
P109911,Secret Brightening Powder for Under Eyes,Laura Mercier,Makeup,Face,33.0,4.2645,95941,1747.0,13.86
P483654,Dior Addict Lip Tint,Dior,Makeup,Lip,40.0,3.6104,68493,77.0,16.8
P472317,The One & Done Volumizing Mascara,LAWLESS,Makeup,Eye,25.0,4.1337,7947,359.0,10.5
P476690,Silk Balm Honey Kiss Lip Balm,HUDA BEAUTY,Makeup,Lip,21.0,3.7143,4814,21.0,8.82
P454941,Pure Canvas Primer - Blurring,Laura Mercier,Makeup,Face,47.0,4.1382,16113,1701.0,19.74
P502306,Glowish Blur Jam Silicone Free Smoothing Primer,HUDA BEAUTY,Makeup,Face,33.0,4.5054,21782,186.0,13.86
P501284,Halo Sheer To Stay Cream Cheek + Lip Tint,Smashbox,Makeup,Cheek,28.0,4.1971,3868,416.0,11.76
P472065,Makeup Tape,SEPHORA COLLECTION,Makeup,Brushes & Applicators,8.0,3.675,30968,40.0,3.36
P502185,Triclone Skin Tech Medium Coverage Foundation with Fermented Arnica,HAUS LABS BY LADY GAGA,Makeup,Face,45.0,4.2841,176443,1137.0,18.9
P433125,KUSH Fiber Eyebrow Gel,MILK MAKEUP,Makeup,Eye,22.0,4.3577,86371,1451.0,9.24
P183916,Lip Liner,Givenchy,Makeup,Lip,30.0,4.4754,15108,122.0,12.6
P399503,DRAMA LIQUI-PENCIL Longwear Eyeliner,Lancôme,Makeup,Eye,23.0,4.66,63085,1147.0,9.66
P471242,Mini Easy Bake Loose Baking & Setting Powder,HUDA BEAUTY,Makeup,Mini Size,22.0,3.9007,112703,141.0,9.24
P502866,Disney Fantasia and ONE/SIZE Ultimate Mickey Puff,ONE/SIZE by Patrick Starrr,Makeup,Brushes & Applicators,16.0,4.3333,11246,6.0,6.72
P477168,#BombBrows Full ’n Fluffy Volumizing Fiber Gel,HUDA BEAUTY,Makeup,Eye,19.0,3.8649,7705,37.0,7.98
P54433,Le Lip Liner,Lancôme,Makeup,Lip,28.0,4.5944,17846,180.0,11.76
P457458,Hydrating Tinted Daily Lip Balm,rms beauty,Makeup,Lip,24.0,4.6723,31828,296.0,10.08
P475118,"Bloom, Bronze & Glow Bronzer & Highlighter Duo",Jouer Cosmetics,Makeup,Cheek,32.0,4.36,15500,50.0,13.44
P501516,Eyebrow Laminator,TOM FORD,Makeup,Eye,55.0,4.0884,356,441.0,23.1
P468353,"Colorfix Eye, Cheek & Lip Cream Pigment",Danessa Myricks Beauty,Makeup,Eye,18.0,4.3961,195284,876.0,7.56
P395532,Lip Liner To Go,SEPHORA COLLECTION,Makeup,Lip,6.0,4.0169,190809,827.0,2.52
P476697,Wink Lash Trio Mascara,Kaja,Makeup,Eye,30.0,4.3805,16713,389.0,12.6
P481396,Revealer Skin-Improving Foundation SPF 25 with Hyaluronic Acid and Niacinamide,Kosas,Makeup,Face,42.0,3.9787,138336,847.0,17.64
P505250,Love Face Eyeshadow & Cheek Essential Palette,Natasha Denona,Makeup,Makeup Palettes,62.0,3.3,2532,10.0,26.04
P500992,Rouge Artist For Ever Matte 24HR Longwear Liquid Lipstick,MAKE UP FOR EVER,Makeup,Lip,25.0,4.1005,19148,209.0,10.5
P472817,Blush & Bloom Cheek + Lip Duo- French Riviera,Jouer Cosmetics,Makeup,Cheek,32.0,4.7692,5637,13.0,13.44
P503762,Lash-Amplifying Volumizing & Lengthening Mascara,Ami Colé,Makeup,Eye,19.0,4.1842,5015,38.0,7.98
P501435,Gimme Brow Goals Volumizing Brow Gel & Pencil Duo,Benefit Cosmetics,Makeup,Value & Gift Sets,27.0,4.0,3154,2.0,11.34
P471076,Discovery Eyeshadow Palette,Rare Beauty by Selena Gomez,Makeup,Eye,29.0,4.1593,23771,226.0,12.18
P382378,130 Large Powder Brush,MAKE UP FOR EVER,Makeup,Brushes & Applicators,55.0,4.8511,15548,94.0,23.1
P49848448,Liquid Touch Weightless Foundation,Rare Beauty by Selena Gomez,Makeup,Face,30.0,4.0332,263393,5186.0,12.6
P446816,24/7 Glide-On Eye Pencil - Sparkle Out Loud Collection,Urban Decay,Makeup,Eye,25.0,4.5449,12816,334.0,10.5
